PUZone,DOZone,max_distance,month
Springfield Gardens South,NA,264.71,1
Ocean Hill,Two Bridges/Seward Park,180.7,1
JFK Airport,UN/Turtle Bay South,173.2,1
Mariners Harbor,NA,156.17,1
Clinton East,NA,151.7,1
Flushing Meadows-Corona Park,NA,143.45,1
NA,NA,143.4,1
JFK Airport,NA,143.4,1
Richmond Hill,NA,141.8,1
JFK Airport,NA,139.17,1
Prospect-Lefferts Gardens,Clinton Hill,324.0,2
Bay Ridge,NA,298.47,2
Bedford,Bedford,282.0,2
Gramercy,NA,221.7,2
Garment District,NA,196.73,2
Sheepshead Bay,Bedford,190.2,2
Mott Haven/Port Morris,NA,182.3,2
Little Italy/NoLiTa,NA,142.3,2
Little Italy/NoLiTa,Little Italy/NoLiTa,138.4,2
JFK Airport,World Trade Center,132.58,2
West Chelsea/Hudson Yards,Times Sq/Theatre District,598.5,3
Little Italy/NoLiTa,Bedford,332.4,3
JFK Airport,NA,277.1,3
Penn Station/Madison Sq West,Bayside,270.1,3
JFK Airport,NA,245.3,3
East Chelsea,NA,229.79,3
Penn Station/Madison Sq West,NA,208.79,3
Mott Haven/Port Morris,NA,202.6,3
TriBeCa/Civic Center,TriBeCa/Civic Center,197.28,3
Garment District,NA,189.25,3
Jamaica Estates,NA,308.02,4
Lenox Hill West,NA,271.8,4
Steinway,Woodside,254.39,4
NV,NV,248.01,4
West Chelsea/Hudson Yards,Financial District North,244.6,4
JFK Airport,Spuyten Duyvil/Kingsbridge,232.92,4
Clinton East,NA,187.1,4
Gravesend,NA,187.1,4
Canarsie,NA,147.6,4
Jackson Heights,LaGuardia Airport,143.27,4
