PUZone,month,count
Upper East Side South,4,390697
Midtown Center,4,366820
Upper East Side North,4,354946
Penn Station/Madison Sq West,4,342596
Times Sq/Theatre District,4,337932
Midtown East,4,331242
Union Sq,4,326389
Murray Hill,4,315575
Clinton East,4,314603
East Village,4,303044
Lincoln Square East,4,286473
Midtown North,4,263076
LaGuardia Airport,4,260742
Upper West Side South,4,254374
JFK Airport,4,245293
Gramercy,4,239571
Midtown South,4,239081
East Chelsea,4,236737
Lenox Hill West,4,226445
West Village,4,216792
