PUZone	month	count
Upper East Side South	3	380997
Midtown Center	3	377452
Times Sq/Theatre District	3	358287
Penn Station/Madison Sq West	3	356988
Upper East Side North	3	352736
Midtown East	3	345198
Union Sq	3	341603
Murray Hill	3	335374
Clinton East	3	327184
East Village	3	316027
Lincoln Square East	3	290238
Midtown North	3	271915
Upper West Side South	3	261620
Gramercy	3	249716
LaGuardia Airport	3	246789
Midtown South	3	246361
JFK Airport	3	236715
East Chelsea	3	236552
Lenox Hill West	3	232399
West Village	3	217929
