creditor,debtor,amount,risk
Upper East Side South,Upper East Side North,140744,3
Upper East Side North,Upper East Side North,56242,0
Upper East Side North,Upper East Side South,50058,0
Upper East Side South,Upper East Side South,47884,0
Upper West Side South,Upper West Side North,41965,1
Upper West Side South,Lincoln Square East,29124,1
Lincoln Square East,Upper West Side South,27490,0
Upper West Side North,Upper West Side South,25428,0
Upper East Side South,Midtown East,24330,0
Penn Station/Madison Sq West,Times Sq/Theatre District,23820,1
East Village,East Village,22992,0
Lenox Hill West,Upper East Side North,22960,2
Times Sq/Theatre District,Penn Station/Madison Sq West,22874,1
Penn Station/Madison Sq West,Midtown Center,22767,1
Midtown Center,Upper East Side South,22474,0
Upper West Side South,Upper West Side South,20803,0
Union Sq,Murray Hill,20695,0
Upper East Side South,Midtown Center,20576,2
Clinton East,Clinton East,20540,1
Yorkville West,Upper East Side North,20300,1
Gramercy,Murray Hill,20171,0
Upper East Side South,Lenox Hill West,20104,2
Penn Station/Madison Sq West,Murray Hill,19939,1
Lenox Hill West,Upper East Side South,19169,0
Upper East Side North,Lenox Hill West,19111,0
Upper East Side North,Upper West Side South,18885,0
Lincoln Square East,Upper West Side North,18676,1
Midtown Center,Midtown Center,18529,1
Penn Station/Madison Sq West,Union Sq,18277,0
Upper East Side North,Yorkville East,18204,0
Yorkville East,Upper East Side North,17953,0
Midtown East,Murray Hill,17767,0
Upper West Side South,Upper East Side North,17427,2
Upper East Side North,Yorkville West,17344,1
East Village,Gramercy,17261,0
Murray Hill,Union Sq,17123,0
Clinton East,East Chelsea,17092,1
Upper East Side South,Lenox Hill East,16900,1
Yorkville West,Lenox Hill West,16767,0
Lenox Hill West,Lenox Hill West,16680,0
Upper East Side North,Upper West Side North,16623,0
Midtown Center,Penn Station/Madison Sq West,16366,1
Upper West Side North,Lincoln Square East,16192,0
Upper West Side North,Upper East Side North,16134,0
Upper East Side South,Lincoln Square East,16076,0
Union Sq,Penn Station/Madison Sq West,15986,3
Times Sq/Theatre District,Midtown Center,15907,3
Garment District,Midtown Center,15852,3
Midtown Center,Upper East Side North,15723,3
